FILENAME;\Hard Disk2\Result\ReHa_CatIB_VK_20220314_165540.csv
PROTOCOL;ReHa_CatIB_VK
FILE_VERSION;3.3;
DATE START;2022-03-14;16:55:05
DATE END;2022-03-15;10:55:03;;Last Reading;270;Timestamp;3426244                      
DEVICE;BL098-CX_349F39
USER;ReHa;COMMENT;no comment available
PLATETYPE;MTP-48-FlowerPlate;LOT;UNKOWN
MTP ROWS;6
MTP COLUMNS;8
FILTERSETS;1;REFERENCE_MODE;2;MULTI_PMT;0;

FILTERSET;FILTERNAME;EX [nm];EM [nm];LAYOUT;FILTERNR;GAIN;PHASESTATISTICSSIGMA;SIGNALQUALITYTOLERANCE;REFERENCE VALUE;EM2 [nm];GAIN2;PROCESS PARAMETER
 1;Biomass;620;620;48MTP_m2p-labs_FAT-SAT;1;20;1.00;100.00;283.00;;;SET TEMPERATURE [°C];37.00
;;;;;;;;;;;;SET HUMIDITY [rH];85.00
;;;;;;;;;;;;SET O2 [%];20.95
;;;;;;;;;;;;SET CO2 [%];0.00
;;;;;;;;;;;;SET SHAKER FREQUENCY [rpm];1000.00
;;;;;;;;;;;;SET CYCLE TIME [min];4.00
;;;;;;;;;;;;SET EXP TIME [h];1193.0000

READING;WELLNUM;CONTENT;DESCRIPTION;FILTERSET;TIME [h];AMPLITUDE;PHASE;ACT TEMP [°C];ACT HUMIDITY [rH];ACT O2 [%];ACT CO2 [%];COMMENTS
R;;;;1;0.02802;286.03;0.0;23.20;59.73;-0.01;0.00;test measure for referencing with gain 15 
C1;A01;X1;;1;0.03070;9.88;0.0;23.80;59.74;-0.01;0.00;
C1;A02;X2;;1;0.03132;9.29;0.0;23.90;59.73;-0.01;0.00;
C1;A03;X3;;1;0.03199;10.09;0.0;24.00;59.73;-0.01;0.00;
C1;A04;X4;;1;0.03263;9.28;0.0;24.20;59.66;-0.01;0.00;
C1;A05;X5;;1;0.03325;9.76;0.0;24.30;59.60;-0.01;0.00;
C1;A06;X6;;1;0.03388;9.69;0.0;24.40;59.53;-0.01;0.00;
C1;A07;X7;;1;0.03450;10.03;0.0;24.50;59.47;-0.01;0.00;
C1;A08;X8;;1;0.03514;10.34;0.0;24.70;59.41;-0.01;0.00;
C1;B08;X16;;1;0.03579;9.78;0.0;24.80;59.33;-0.01;0.00;
C1;B07;X15;;1;0.03656;10.69;0.0;25.00;59.14;-0.01;0.00;
C1;B06;X14;;1;0.03727;10.55;0.0;25.10;59.01;-0.01;0.00;
C1;B05;X13;;1;0.03796;10.96;0.0;25.30;58.95;-0.01;0.00;
C1;B04;X12;;1;0.03859;10.93;0.0;25.40;58.81;-0.01;0.00;
C1;B03;X11;;1;0.03923;10.61;0.0;25.50;58.81;-0.01;0.00;
C1;B02;X10;;1;0.03986;9.98;0.0;25.60;58.60;-0.01;0.00;
C1;B01;X9;;1;0.04053;9.62;0.0;25.70;58.37;-0.01;0.00;
C1;C01;X17;;1;0.04122;9.38;0.0;25.90;58.23;-0.01;0.00;
C1;C02;X18;;1;0.04188;9.86;0.0;26.00;58.17;-0.01;0.00;
C1;C03;X19;;1;0.04251;19.18;0.0;26.10;58.11;-0.01;0.00;
C1;C04;X20;;1;0.04318;11.29;0.0;26.20;57.98;-0.01;0.00;
C1;C05;X21;;1;0.04379;10.80;0.0;26.30;57.88;-0.01;0.00;
C1;C06;X22;;1;0.04442;10.74;0.0;26.40;57.69;-0.01;0.00;
C1;C07;X23;;1;0.04516;11.09;0.0;26.50;57.55;-0.01;0.00;
C1;C08;X24;;1;0.04580;10.12;0.0;26.70;57.39;-0.01;0.00;
C1;D08;X32;;1;0.04646;11.43;0.0;26.80;57.26;-0.01;0.00;
C1;D07;X31;;1;0.04712;11.59;0.0;26.90;57.14;-0.01;0.00;
C1;D06;X30;;1;0.04774;11.13;0.0;27.00;57.06;-0.01;0.00;
C1;D05;X29;;1;0.04836;10.56;0.0;27.10;56.99;-0.01;0.00;
C1;D04;X28;;1;0.04901;11.84;0.0;27.20;56.72;-0.01;0.00;
C1;D03;X27;;1;0.04965;11.12;0.0;27.30;56.61;-0.01;0.00;
C1;D02;X26;;1;0.05033;10.74;0.0;27.40;56.48;-0.01;0.00;
C1;D01;X25;;1;0.05095;9.15;0.0;27.50;56.36;-0.01;0.00;
C1;E01;X33;;1;0.05162;16.94;0.0;27.60;56.23;-0.01;0.00;
C1;E02;X34;;1;0.05223;11.75;0.0;27.70;56.10;-0.01;0.00;
C1;E03;X35;;1;0.05291;10.95;0.0;27.90;56.05;-0.01;0.00;
C1;E04;X36;;1;0.05375;11.19;0.0;28.00;55.77;-0.01;0.00;
C1;E05;X37;;1;0.05449;11.39;0.0;28.00;55.64;-0.01;0.00;
C1;E06;X38;;1;0.05515;11.53;0.0;28.20;55.58;-0.01;0.00;
C1;E07;X39;;1;0.05578;11.72;0.0;28.20;55.51;-0.01;0.00;
C1;E08;X40;;1;0.05641;10.90;0.0;28.40;55.41;-0.01;0.00;
C1;F08;X48;;1;0.05712;10.82;0.0;28.40;54.99;-0.01;0.00;
C1;F07;X47;;1;0.05777;11.61;0.0;28.50;54.86;-0.01;0.00;
C1;F06;X46;;1;0.05840;11.09;0.0;28.60;54.80;-0.01;0.00;
C1;F05;X45;;1;0.05903;10.76;0.0;28.70;54.67;-0.01;0.00;
C1;F04;X44;;1;0.05972;12.76;0.0;28.80;54.61;-0.01;0.00;
C1;F03;X43;;1;0.06034;10.94;0.0;28.90;54.41;-0.01;0.00;
C1;F02;X42;;1;0.06097;10.69;0.0;29.00;54.33;-0.01;0.00;
