FILENAME;\Hard Disk2\Result\ReHa_CatIB_HK_20220222_153958.csv
PROTOCOL;ReHa_CatIB_HK
FILE_VERSION;3.3;
DATE START;2022-02-22;15:40:01
DATE END;2022-02-22;15:40:01;;Last Reading;1;Timestamp;168774402                        
DEVICE;BL098-CX_349F39
USER;ReHa;COMMENT;no comment available
PLATETYPE;MTP-48-FlowerPlate;LOT;UNKOWN
MTP ROWS;6
MTP COLUMNS;8
FILTERSETS;1;REFERENCE_MODE;2;MULTI_PMT;0;

FILTERSET;FILTERNAME;EX [nm];EM [nm];LAYOUT;FILTERNR;GAIN;PHASESTATISTICSSIGMA;SIGNALQUALITYTOLERANCE;REFERENCE VALUE;EM2 [nm];GAIN2;PROCESS PARAMETER
 1;Biomass;620;620;48MTP_m2p-labs_FAT-SAT;1;20;1.00;100.00;283.00;;;SET TEMPERATURE [°C];25.00
;;;;;;;;;;;;SET HUMIDITY [rH];85.00
;;;;;;;;;;;;SET O2 [%];20.95
;;;;;;;;;;;;SET CO2 [%];0.00
;;;;;;;;;;;;SET SHAKER FREQUENCY [rpm];1000.00
;;;;;;;;;;;;SET CYCLE TIME [min];4.00
;;;;;;;;;;;;SET EXP TIME [h];1193.0000

READING;WELLNUM;CONTENT;DESCRIPTION;FILTERSET;TIME [h];AMPLITUDE;PHASE;ACT TEMP [°C];ACT HUMIDITY [rH];ACT O2 [%];ACT CO2 [%];COMMENTS
R;;;;1;0.00424;272.23;0.0;22.20;26.23;-0.01;0.00;test measure for referencing with gain 15 
C1;A01;X1;;1;0.00675;9.00;0.0;22.40;34.38;-0.01;0.00;
C1;A02;X2;;1;0.00738;8.93;0.0;22.40;36.85;-0.01;0.00;
C1;A03;X3;;1;0.00801;9.75;0.0;22.40;39.37;-0.01;0.00;
C1;A04;X4;;1;0.00863;9.24;0.0;22.50;43.63;-0.01;0.00;
C1;A05;X5;;1;0.00928;9.85;0.0;22.50;46.67;-0.01;0.00;
C1;A06;X6;;1;0.00992;8.98;0.0;22.60;48.95;-0.01;0.00;
C1;A07;X7;;1;0.01056;10.31;0.0;22.70;51.17;-0.01;0.00;
C1;A08;X8;;1;0.01123;9.74;0.0;22.80;53.17;-0.01;0.00;
C1;B08;X16;;1;0.01191;9.90;0.0;22.90;55.05;-0.01;0.00;
C1;B07;X15;;1;0.01253;10.90;0.0;23.00;56.74;-0.01;0.00;
C1;B06;X14;;1;0.01316;10.07;0.0;23.10;58.42;-0.01;0.00;
C1;B05;X13;;1;0.01379;10.60;0.0;23.20;60.38;-0.01;0.00;
C1;B04;X12;;1;0.01458;10.22;0.0;23.40;62.77;-0.01;0.00;
C1;B03;X11;;1;0.01521;10.67;0.0;23.40;64.06;-0.01;0.00;
C1;B02;X10;;1;0.01584;10.33;0.0;23.60;65.23;-0.01;0.00;
C1;B01;X9;;1;0.01645;10.11;0.0;23.70;66.40;-0.01;0.00;
C1;C01;X17;;1;0.01715;9.92;0.0;23.90;67.43;-0.01;0.00;
C1;C02;X18;;1;0.01778;10.78;0.0;24.00;68.74;-0.01;0.00;
C1;C03;X19;;1;0.01840;12.04;0.0;24.10;70.15;-0.01;0.00;
C1;C04;X20;;1;0.01918;11.07;0.0;24.20;71.13;-0.01;0.00;
